N Drinks Volume Price
1 Milk 0.51 30.8
2 Juice 0.87 6.7
3 Vodka 1.12 43.4
4 Cola 0.74 43.7
5 Vodka 1.21 49.3
6 Cola 0.94 28.4
7 Cider 0.97 17.5
8 Coffee 1.79 26.1
9 Brandy 0.99 29.7
10 Soda 1.78 3.8
11 Coffee 0.85 34.1
12 Cider 1.24 43.4
13 Soda 1.82 25.8
14 Milk 0.86 17.4
15 Coffee 0.67 36.3
16 Brandy 1.61 36.2
17 Coffee 0.39 33.6
18 Brandy 1.4 34.3
19 Tonic 0.68 48.8
20 Sprite 0.65 46.0
21 Vodka 1.78 9.4
22 Gin 1.42 45.8
23 Gin 1.54 19.8
24 Wine 1.87 48.7
25 Sprite 1.29 35.3
26 Whiskey 1.19 4.1
27 Cola 1.86 42.6
28 Lemonade 1.6 20.1
29 Vodka 1.26 16.0
30 Cola 1.44 35.2
31 Rum 0.2 44.3
32 Champagne 0.48 2.5
33 Rum 0.92 45.5
34 Brandy 1.15 29.7
35 Lemonade 1.8 7.0
36 Cola 0.99 16.1
37 Milk 0.21 2.6
38 Soda 1.09 41.7
39 Lemonade 0.86 22.1
40 Milk 1.07 4.5
41 Tonic 1.88 33.4
42 Sprite 1.41 14.6
43 Juice 1.95 42.7
44 Soda 1.49 48.8
45 Juice 0.52 17.8
46 Cola 0.38 15.0
47 Cider 1.72 6.8
48 Tea 1.05 37.3
49 Water 1.5 3.4
50 Juice 0.56 12.5
51 Champagne 0.36 27.1
52 Gin 1.89 43.3
53 Brandy 0.22 42.0
54 Cola 1.31 21.3
55 Wine 0.77 23.7
56 Beer 0.75 19.6
57 Soda 1.77 35.0
58 Beer 0.29 8.0
59 Rum 1.77 22.6
60 Beer 1.68 34.0
61 Sprite 0.34 19.3
62 Champagne 0.95 23.9
63 Soda 1.09 38.4
64 Champagne 0.36 41.2
65 Gin 1.4 20.3
66 Wine 1.89 4.1
67 Rum 1.83 40.7
68 Cola 0.67 36.7
69 Vodka 0.45 27.6
70 Soda 1.02 18.3
71 Fanta 1.55 17.1
72 Vodka 1.44 17.6
73 Sprite 0.73 34.5
74 Champagne 1.52 18.1
75 Water 1.93 0.9
76 Coffee 0.29 34.3
77 Cola 1.13 47.8
78 Lemonade 0.93 25.9
79 Whiskey 1.86 3.5
80 Tonic 0.39 22.9
81 Milk 0.71 18.9
82 Tonic 1.48 24.0
83 Gin 0.74 0.7
84 Coffee 0.94 38.2
85 Lemonade 1.88 7.9
86 Brandy 1.13 46.7
87 Cider 1.03 38.6
88 Coffee 1.08 11.1
89 Juice 1.47 41.2
90 Sprite 1.21 31.1
91 Wine 1.68 17.4
92 Champagne 0.87 40.0
93 Coffee 0.3 44.4
94 Sprite 1.64 23.2
95 Coffee 1.71 43.2
96 Milk 0.25 22.4
97 Fanta 1.27 45.3
98 Tea 1.31 43.1
99 Fanta 0.27 12.4
100 Soda 1.0 15.4
101 Champagne 0.54 38.6
102 Whiskey 1.36 24.1
103 Lemonade 1.23 33.9
104 Cola 0.76 18.1
105 Lemonade 1.74 16.7
106 Beer 0.61 18.6
107 Gin 1.91 27.2
108 Fanta 0.56 42.5
109 Soda 1.46 45.5
110 Beer 1.03 0.6
111 Gin 1.13 7.1
112 Water 0.96 41.0
113 Beer 1.82 12.4
114 Milk 0.43 3.1
115 Beer 1.94 43.1
116 Soda 1.69 43.5
117 Brandy 0.63 18.2
118 Milk 1.32 44.7
119 Juice 0.66 34.0
120 Lemonade 1.46 33.5
121 Water 1.1 3.8
122 Rum 1.81 22.3
123 Rum 1.94 34.3
124 Coffee 0.72 18.2
125 Water 1.98 42.2
126 Soda 1.89 23.8
127 Whiskey 1.38 6.7
128 Tonic 0.57 11.9
129 Milk 0.92 42.9
130 Whiskey 0.86 41.3
131 Tonic 1.63 8.0
132 Lemonade 0.45 23.3
133 Cola 1.94 30.3
134 Water 0.86 13.3
135 Brandy 0.4 28.8
136 Tonic 0.23 32.7
137 Tea 1.98 42.7
138 Lemonade 1.27 49.0
139 Soda 1.98 24.6
140 Tonic 0.76 35.0
141 Fanta 0.56 41.0
142 Tea 1.44 20.8
143 Wine 1.63 19.7
144 Water 1.33 36.9
145 Wine 1.08 27.5
146 Coffee 0.5 22.4
147 Champagne 0.25 5.1
148 Milk 0.65 45.8
149 Vodka 1.49 35.1
150 Cider 0.56 39.4
151 Whiskey 0.32 2.2
152 Brandy 0.45 27.0
153 Wine 0.3 46.2
154 Rum 0.49 43.9
155 Tonic 0.93 39.0
156 Tea 1.75 32.7
157 Whiskey 1.09 33.3
158 Lemonade 1.06 41.0
159 Whiskey 0.92 1.2
160 Beer 0.32 5.3
161 Wine 1.41 45.4
162 Tonic 0.92 6.9
163 Coffee 0.31 14.8
164 Tonic 0.97 3.5
165 Rum 1.33 7.7
166 Lemonade 0.51 2.2
167 Fanta 1.09 48.8
168 Beer 0.93 17.8
169 Cola 0.95 49.6
170 Tea 1.2 42.8
171 Coffee 1.78 13.7
172 Cider 1.73 49.2
173 Coffee 1.93 32.8
174 Water 0.25 35.9
175 Rum 1.99 13.0
176 Lemonade 0.57 40.8
177 Sprite 0.77 11.1
178 Rum 1.41 13.1
179 Cola 1.86 40.7
180 Milk 0.36 41.9
181 Cider 1.06 15.8
182 Coffee 1.38 13.7
183 Beer 1.33 10.8
184 Milk 0.62 49.9
185 Whiskey 1.47 37.1
186 Brandy 0.56 25.7
187 Juice 0.25 22.4
188 Vodka 0.82 22.2
189 Sprite 1.07 49.1
190 Champagne 1.58 18.1
191 Juice 1.87 12.5
192 Vodka 1.64 23.1
193 Cider 0.77 35.0
194 Cola 0.43 19.4
195 Tonic 1.68 4.8
196 Wine 0.37 33.8
197 Champagne 0.3 31.1
198 Brandy 0.35 1.4
199 Sprite 1.54 16.7
200 Tea 0.67 39.2
201 Sprite 1.71 8.9
202 Sprite 0.84 21.0
203 Rum 0.39 37.6
204 Juice 1.48 16.5
205 Gin 0.86 21.9
206 Soda 0.67 20.6
207 Rum 1.01 35.8
208 Sprite 1.65 48.2
209 Cola 0.5 36.0
210 Wine 1.97 43.5
211 Soda 1.56 32.8
212 Brandy 1.09 22.1
213 Coffee 1.01 30.5
214 Juice 1.77 18.4
215 Juice 0.79 38.3
216 Water 1.91 7.6
217 Vodka 1.15 9.8
218 Cider 1.74 0.5
219 Juice 1.42 20.5
220 Fanta 1.04 9.6
221 Whiskey 1.43 47.9
222 Cider 1.44 43.7
223 Milk 0.62 15.9
224 Coffee 1.6 19.6
225 Juice 0.9 0.7
226 Soda 1.47 10.0
227 Cider 1.04 28.2
228 Sprite 0.5 47.0
229 Soda 0.29 9.9
230 Gin 1.21 14.3
231 Whiskey 1.29 30.9
232 Rum 0.67 31.8
233 Brandy 1.08 20.0
234 Lemonade 0.82 39.6
235 Juice 0.8 9.8
236 Brandy 0.65 7.5
237 Brandy 1.35 4.2
238 Champagne 0.96 19.0
239 Beer 1.25 5.0
240 Whiskey 1.75 48.8
241 Cola 1.81 14.7
242 Vodka 1.07 37.9
243 Tea 1.49 23.5
244 Fanta 0.28 2.2
245 Fanta 1.53 13.5
246 Vodka 1.01 16.9
247 Brandy 1.56 37.9
248 Champagne 0.79 35.8
249 Wine 0.65 31.4
250 Milk 1.14 19.0
251 Beer 1.57 41.3
252 Vodka 1.74 35.2
253 Water 0.59 46.0
254 Brandy 1.13 29.1
255 Tea 0.61 44.0
256 Cola 0.85 22.1
257 Soda 1.36 41.6
258 Gin 0.74 26.6
259 Coffee 1.64 25.2
260 Whiskey 1.34 4.5
261 Sprite 1.96 21.8
262 Milk 0.44 27.7
263 Fanta 0.38 12.5
264 Juice 1.93 22.6
265 Lemonade 1.04 36.0
266 Cider 0.8 7.2
267 Champagne 0.59 45.0
268 Wine 1.83 12.3
269 Vodka 0.23 14.7
270 Sprite 0.57 5.4
271 Juice 1.8 46.2
272 Fanta 1.17 23.5
273 Beer 0.94 11.9
274 Tonic 1.58 26.4
275 Cider 0.8 21.1
276 Lemonade 1.98 14.0
277 Sprite 0.71 17.2
278 Fanta 0.71 31.5
279 Gin 1.58 45.3
280 Whiskey 0.43 23.6
281 Water 1.98 48.6
282 Beer 0.79 10.0
283 Cola 1.69 4.6
284 Tonic 1.41 18.5
285 Cola 0.22 45.6
286 Cider 1.7 18.0
287 Cider 1.55 33.5
288 Tea 1.23 14.3
289 Vodka 0.28 40.9
290 Soda 1.94 49.5
291 Tonic 0.52 3.7
292 Brandy 0.38 33.5
293 Vodka 0.31 15.3
294 Soda 1.77 12.8
295 Wine 1.87 18.1
296 Fanta 0.99 43.8
297 Juice 1.49 44.1
298 Soda 1.0 4.9
299 Water 0.85 37.4
300 Beer 1.86 19.1
301 Milk 1.96 8.3
302 Water 0.86 14.0
303 Fanta 1.94 20.1
304 Coffee 0.86 31.3
305 Cider 1.2 12.9
306 Tea 0.95 18.4
307 Fanta 1.97 13.7
308 Juice 1.48 48.3
309 Wine 0.3 22.8
310 Tonic 1.68 41.2
311 Gin 0.89 17.1
312 Coffee 1.19 23.2
313 Rum 0.32 21.5
314 Soda 1.64 26.8
315 Beer 1.42 29.5
316 Lemonade 1.02 21.6
317 Gin 0.96 33.1
318 Tea 0.62 3.5
319 Tea 0.88 18.3
320 Whiskey 1.89 0.7
321 Beer 0.27 48.7
322 Wine 1.74 43.6
323 Tonic 1.32 19.8
324 Brandy 1.46 31.7
325 Soda 1.85 49.5
326 Cola 1.98 31.7
327 Water 1.64 5.6
328 Milk 0.76 3.0
329 Whiskey 0.21 47.2
330 Cola 0.34 34.1
331 Lemonade 0.85 35.2
332 Wine 0.6 19.8
333 Milk 0.99 20.7
334 Champagne 1.58 25.7
335 Vodka 1.24 37.3
336 Soda 0.83 2.5
337 Fanta 1.92 33.2
338 Juice 0.45 28.0
339 Tea 1.07 37.5
340 Whiskey 1.33 49.1
341 Wine 0.88 48.3
342 Soda 0.34 12.1
343 Milk 0.93 15.4
344 Rum 0.41 35.1
345 Rum 1.4 30.2
346 Juice 1.18 3.6
347 Juice 1.13 40.1
348 Coffee 1.17 36.4
349 Lemonade 0.78 45.2
350 Brandy 1.57 6.1
351 Brandy 0.58 7.6
352 Wine 0.47 10.1
353 Beer 0.65 47.7
354 Cola 1.34 17.1
355 Vodka 0.25 12.0
356 Tonic 1.82 49.2
357 Water 1.93 29.1
358 Sprite 1.61 27.2
359 Cider 2.0 45.1
360 Whiskey 0.94 14.5
361 Gin 0.74 49.2
362 Gin 1.56 39.8
363 Soda 1.46 46.8
364 Vodka 1.78 35.7
365 Soda 1.44 2.3
366 Rum 0.75 48.7
367 Lemonade 1.78 42.1
368 Brandy 0.93 17.7
369 Champagne 1.6 18.4
370 Lemonade 0.31 33.6
371 Cola 1.02 48.0
372 Brandy 1.16 6.5
373 Milk 1.1 15.9
374 Milk 0.49 42.0
375 Champagne 0.48 4.9
376 Whiskey 0.86 17.2
377 Water 1.73 8.4
378 Soda 1.17 11.5
379 Milk 0.4 41.4
380 Beer 1.13 37.3
381 Gin 1.18 25.6
382 Water 1.91 1.5
383 Sprite 1.95 7.8
384 Whiskey 0.55 15.8
385 Wine 0.22 21.8
386 Cider 1.21 34.0
387 Wine 1.31 27.0
388 Whiskey 0.93 29.4
389 Soda 1.7 33.8
390 Juice 1.85 47.9
391 Coffee 0.79 28.1
392 Tonic 0.77 1.8
393 Wine 1.86 33.1
394 Lemonade 1.86 17.3
395 Rum 1.01 39.5
396 Coffee 0.76 36.9
397 Tonic 0.61 42.8
398 Gin 1.19 15.3
399 Gin 0.24 33.9
400 Cola 0.51 5.5
401 Cola 0.21 36.7
402 Tonic 0.69 13.7
403 Lemonade 0.53 26.0
404 Sprite 1.52 31.9
405 Fanta 1.91 16.2
406 Soda 0.59 1.9
407 Fanta 1.4 38.9
408 Lemonade 1.21 17.9
409 Cider 1.13 6.4
410 Beer 1.49 35.0
411 Coffee 0.98 47.8
412 Beer 1.24 1.3
413 Coffee 1.56 11.5
414 Cider 1.51 13.1
415 Soda 1.4 24.7
416 Rum 0.4 19.6
417 Gin 0.23 29.9
418 Rum 0.26 31.6
419 Brandy 1.87 24.8
420 Beer 1.55 23.1
421 Milk 1.7 44.7
422 Wine 0.54 24.1
423 Cola 0.72 18.0
424 Cider 0.31 45.4
425 Coffee 0.53 47.1
426 Tonic 1.25 28.5
427 Whiskey 1.67 43.2
428 Champagne 1.69 17.4
429 Sprite 1.79 41.8
430 Vodka 1.76 38.7
431 Rum 1.69 35.4
432 Fanta 0.9 16.5
433 Beer 1.5 30.1
434 Lemonade 0.77 44.3
435 Sprite 1.49 42.2
436 Rum 0.65 43.5
437 Fanta 0.35 26.3
438 Milk 1.33 16.9
439 Sprite 0.96 24.5
440 Whiskey 1.23 33.1
441 Fanta 1.69 40.1
442 Beer 1.83 11.9
443 Cola 0.83 3.0
444 Champagne 1.24 19.1
445 Whiskey 1.0 7.0
446 Tonic 1.79 10.6
447 Coffee 0.36 36.9
448 Brandy 0.21 15.1
449 Beer 1.5 13.3
450 Wine 1.6 15.0
451 Milk 1.43 21.4
452 Milk 1.28 15.7
453 Lemonade 1.15 13.6
454 Beer 1.09 20.4
455 Lemonade 1.13 1.4
456 Lemonade 0.58 43.4
457 Gin 1.85 10.0
458 Lemonade 0.78 36.5
459 Cola 1.87 37.7
460 Brandy 1.03 28.5
461 Milk 0.55 3.7
462 Lemonade 1.59 18.8
463 Rum 1.99 40.1
464 Champagne 0.92 39.1
465 Wine 1.14 8.8
466 Cola 1.92 27.7
467 Sprite 1.84 15.8
468 Cider 0.76 20.6
469 Milk 0.21 32.2
470 Milk 1.48 6.2
471 Champagne 1.87 1.4
472 Soda 0.91 29.0
473 Whiskey 1.68 34.6
474 Champagne 0.47 44.9
475 Brandy 1.97 0.8
476 Cider 1.36 13.5
477 Whiskey 1.53 37.0
478 Beer 0.2 3.2
479 Gin 0.5 37.7
480 Wine 0.64 39.0
481 Lemonade 0.97 35.4
482 Gin 1.38 48.0
483 Water 1.13 45.6
484 Coffee 1.13 14.2
485 Rum 1.37 1.3
486 Whiskey 0.86 7.9
487 Vodka 1.55 22.3
488 Sprite 1.9 11.8
489 Fanta 1.74 24.0
490 Tonic 1.89 35.6
491 Fanta 1.22 21.5
492 Sprite 1.29 42.5
493 Whiskey 1.17 40.7
494 Soda 1.07 31.5
495 Juice 1.39 4.7
496 Soda 1.12 34.6
497 Whiskey 0.43 7.5
498 Soda 0.82 4.5
499 Brandy 0.77 14.8
500 Cider 1.29 29.2
501 Gin 1.9 43.3
502 Tea 0.32 6.6
503 Fanta 1.45 42.5
504 Fanta 1.7 42.7
505 Coffee 1.01 48.5
506 Champagne 0.2 7.5
507 Lemonade 1.18 33.4
508 Champagne 1.81 19.3
509 Gin 0.99 10.6
510 Water 1.45 3.0
511 Gin 1.07 18.1
512 Coffee 0.58 27.8
513 Cider 1.73 11.4
514 Lemonade 0.61 42.5
515 Tonic 1.3 28.4
516 Soda 1.95 23.0
517 Beer 0.38 28.0
518 Beer 0.9 27.6
519 Cola 1.41 6.0
520 Brandy 1.5 8.6
521 Tea 1.55 7.4
522 Cider 1.45 37.4
523 Vodka 0.54 15.4
524 Rum 0.93 47.4
525 Champagne 0.23 33.6
526 Fanta 0.3 46.0
527 Juice 1.47 46.1
528 Fanta 0.43 32.3
529 Fanta 2.0 5.4
